fold,train_start,train_end,val_start,val_end,n_train,n_val,elastic_alpha,elastic_l1_ratio
0,2010-01-31,2014-12-31,2015-04-30,2016-03-31,10297,2374,0.01,0.5
1,2010-01-31,2015-12-31,2016-04-30,2017-03-31,12647,2421,0.01,0.5
2,2010-01-31,2016-12-31,2017-04-30,2018-03-31,15052,2514,1.0,0.1
3,2010-01-31,2017-12-31,2018-04-30,2019-03-31,17540,2619,0.01,0.5
4,2010-01-31,2018-12-31,2019-04-30,2020-03-31,20127,2725,0.01,0.5
5,2010-01-31,2019-12-31,2020-04-30,2021-03-31,22834,2839,0.01,0.5
6,2010-01-31,2020-12-31,2021-04-30,2022-03-31,25641,2920,0.01,0.1
7,2010-01-31,2021-12-31,2022-04-30,2023-03-31,28547,2949,0.01,0.5
8,2010-01-31,2022-12-31,2023-04-30,2024-03-31,31492,2934,0.01,0.5
9,2010-01-31,2023-12-31,2024-04-30,2025-03-31,34431,2910,0.01,0.1
