fold,train_start,train_end,val_start,val_end,n_train,n_val,elastic_alpha,elastic_l1_ratio
0,2010-01-31,2014-12-31,2016-01-31,2016-12-31,10297,2405,1.0,0.1
1,2010-01-31,2015-12-31,2017-01-31,2017-12-31,12647,2488,0.1,0.1
2,2010-01-31,2016-12-31,2018-01-31,2018-12-31,15052,2587,1.0,0.1
3,2010-01-31,2017-12-31,2019-01-31,2019-12-31,17540,2698,1.0,0.1
4,2010-01-31,2018-12-31,2020-01-31,2020-12-31,20127,2801,1.0,0.1
5,2010-01-31,2019-12-31,2021-01-31,2021-12-31,22825,2903,0.01,0.5
6,2010-01-31,2020-12-31,2022-01-31,2022-12-31,25626,2932,0.01,0.5
7,2010-01-31,2021-12-31,2023-01-31,2023-12-31,28529,2925,1.0,0.1
8,2010-01-31,2022-12-31,2024-01-31,2024-12-31,31461,2900,0.01,0.1
