fold,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,40,60,109,112,104,290,58,97,44,1,113,37,314,144,110,54,73,0,0,92,137,232,73,207,166,114,127,146,67,23,157,160
1,39,65,92,108,127,281,55,63,35,8,129,21,353,137,70,78,83,0,0,58,100,242,96,187,232,87,83,139,50,13,158,156
2,58,68,84,92,136,316,54,87,70,0,108,25,340,113,85,70,77,0,0,89,122,188,147,181,220,78,179,159,65,25,154,175
3,49,54,82,108,128,324,81,82,40,0,103,50,370,100,104,69,101,0,0,70,111,165,135,161,210,102,201,144,47,42,123,159
4,58,56,97,126,152,309,79,107,47,0,108,33,389,102,151,72,126,0,1,86,144,181,102,163,204,104,237,140,42,30,143,105
5,47,42,83,115,168,271,69,64,56,0,108,48,351,104,161,83,105,0,0,90,143,195,122,194,239,125,297,130,24,32,142,97
6,50,36,102,115,148,275,68,80,52,0,116,54,311,117,127,67,146,0,0,58,152,165,111,172,232,164,343,86,13,31,142,145
7,40,31,121,120,169,304,61,72,61,1,96,40,422,119,114,70,207,0,0,76,189,185,96,205,227,92,311,91,16,39,122,150
8,45,38,91,150,185,288,68,68,61,0,87,49,377,102,96,90,216,0,1,59,186,184,99,195,237,82,309,89,22,28,121,156
