fondo,min,max,n_dias_obs,anios_cobertura,vivo_al_final
FONDO_0114,2003-10-13,2026-05-01,5674,22.548939082819988,True
FONDO_0115,2000-05-22,2026-05-01,6525,25.94113620807666,True
FONDO_0116,2000-05-30,2026-05-01,6519,25.919233401779604,True
FONDO_0117,2001-10-29,2026-05-01,6099,24.503764544832308,True
FONDO_0118,2000-05-30,2026-05-01,6520,25.919233401779604,True
FONDO_0119,2001-07-25,2026-05-01,6218,24.76659822039699,True
FONDO_0120,2001-08-03,2026-05-01,6208,24.7419575633128,True
FONDO_0121,2001-07-30,2026-05-01,6207,24.752908966461327,True
FONDO_0122,2000-05-30,2026-05-01,6520,25.919233401779604,True
FONDO_0123,2001-07-16,2026-05-01,6229,24.791238877481177,True
FONDO_0124,2001-07-16,2026-05-01,6236,24.791238877481177,True
FONDO_0125,2001-03-20,2026-05-01,6308,25.114305270362767,True
FONDO_0126,2001-02-12,2026-05-01,6342,25.21286789869952,True
FONDO_0127,2000-06-30,2026-05-01,6459,25.83436002737851,True
FONDO_0128,2000-05-30,2026-05-01,6520,25.919233401779604,True
FONDO_0129,2000-07-31,2026-05-01,6477,25.749486652977414,True
FONDO_0130,2000-05-30,2026-05-01,6520,25.919233401779604,True
FONDO_0131,2000-05-22,2026-05-01,6522,25.94113620807666,True
FONDO_0132,2023-01-27,2023-04-05,48,0.1861738535249829,False
FONDO_0133,2000-05-30,2026-05-01,6520,25.919233401779604,True
FONDO_0134,2023-01-27,2023-04-05,48,0.1861738535249829,False
FONDO_0135,2023-01-27,2023-04-04,47,0.1834360027378508,False
FONDO_0136,2023-01-30,2023-04-05,45,0.17796030116358658,False
FONDO_0137,2000-06-21,2026-05-01,6492,25.859000684462696,True
FONDO_0138,2000-07-31,2026-05-01,6469,25.749486652977414,True
FONDO_0139,2000-05-30,2026-05-01,6519,25.919233401779604,True
FONDO_0140,2023-01-27,2023-04-04,46,0.1834360027378508,False
FONDO_0141,2000-06-20,2026-05-01,6500,25.861738535249827,True
FONDO_0142,2000-07-19,2026-05-01,6441,25.782340862423,True
FONDO_0143,2000-06-19,2026-05-01,6506,25.864476386036962,True
FONDO_0144,2000-06-22,2026-05-01,6495,25.856262833675565,True
FONDO_0145,2000-06-01,2026-05-01,6517,25.913757700205338,True
FONDO_0146,2000-06-19,2026-05-01,6504,25.864476386036962,True
FONDO_0147,2000-05-30,2026-05-01,6520,25.919233401779604,True
FONDO_0148,2000-06-19,2026-05-01,6459,25.864476386036962,True
