fold,alpha,l1_ratio,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,0.01,0.1,0.0,0.0003511661027545059,-0.0,0.04333146968932601,-0.02326495129594968,-0.0,-0.06730284196503877,-0.009356507528174223,-0.0,-0.0011446895130418594,0.002664789545882947,0.014731590142033759,-0.03704964509314553,0.0017472174930648519,-0.05392450636938639,-0.0,-0.006068777051517622,0.0,0.00465014770781134,0.004856876090334278,-0.0006675570881401941,-0.058978416014130806,-0.009126348648013182,-0.006715835656767227,0.005591064601033739,-0.006658048237502308,0.0003767944714505882,-0.02997712186910912,0.007765649040398386,-0.0,0.0381373285082966,-0.00042058572364926173
1,0.01,0.1,-0.001549264735760373,0.0006677510953152456,-0.00034806206437104696,0.04317103499300086,-0.013627089786603886,0.0037515491348458227,-0.054545213163100854,-0.00990500285527325,-0.00019589979123398578,-0.0018750692709337592,0.00018760327819153966,0.0057370360212419735,-0.025234960976135288,0.0,-0.05587312412267313,-0.0,-0.0051519898516298275,0.0,0.006495932480013285,0.0014427801856677189,0.0,-0.06938474943968516,-0.009798119712153375,-0.01293887899119763,0.007844852213087549,-0.00728350964385856,0.0,-0.027094919347201506,0.006981497485738251,-0.0,0.04148082184020738,-0.00035917099611715287
2,0.001,0.9,-0.0027313179279855287,0.0,-0.0027628451893508157,0.05594815428068138,-0.0119993887324817,0.012576504534349485,-0.06799630499911742,-0.011377905988151728,-0.0,-0.00014548822441859868,0.0,0.008801936412791136,-0.03572459576255174,0.007672241079793041,-0.0523619376735213,0.0,-0.004683884868646234,0.0,0.006062519389669033,-0.004538618912970332,-0.0023245810687586013,-0.05013491857848015,-0.0069780927907108275,0.0003696313245966844,0.0066471035802016885,-0.00550911904850536,0.0,-0.0400659601227075,0.0019237987988076403,-0.0,0.037102900049771875,-0.004490921713078135
3,0.01,0.5,-0.0,-0.0,-0.0,0.0,-0.0,0.004286782340950929,-0.0,-0.005254121377322764,-0.0,0.0,-0.0,0.0,-0.03691300326998211,0.008642258317591855,-0.039795009555074264,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.04163843070023585,-0.0,0.0034711510514470008,-0.0,-0.0004468852758811143,-0.0,-0.0381393106754962,0.0,0.0,0.02211027485167932,-0.0
4,0.01,0.5,-0.0,-0.0,-0.0,0.0,-0.0,0.004764192854153478,-0.0,-0.004610128399327727,0.0,0.0,0.0,-0.0,-0.034179282161280175,0.007015075224519223,-0.037495642757143045,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.04533062934598954,0.0,0.0007433766747036738,-0.0,-0.004712235148149401,-0.0,-0.03419898700244341,0.0,0.0,0.02517548358323418,-0.0
5,0.01,0.5,-0.0,0.0,0.0,0.0,-0.0,0.005033464621740825,-0.0,-0.00395752655573221,-0.0,0.0,0.0,-0.0,-0.032648507526524984,0.006965055497246859,-0.033224222050506076,-0.0,-0.0,0.0,0.0,0.0,0.006056090175647164,-0.04529297496371319,0.0,0.0,-0.0,-0.007866569973291711,-0.0,-0.026263365348261285,-0.0,0.0,0.021578730553999923,-0.0
6,0.01,0.5,0.0,0.0,-0.0,-0.0,-0.006824956182676721,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.029556908073091036,0.01134049510649033,-0.032602184573581536,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.03351433801880909,0.0,0.0,-0.0,-0.005003958988623347,0.0,-0.024131695828125254,0.0,0.0,0.016175066633902866,0.0
7,0.01,0.5,0.0,0.0,-0.0,-0.0,-0.0009146926947837933,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.015428269402290716,0.012970144755940443,-0.028664530584327653,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.029876292122182853,0.0,-0.0,-0.0,-0.0,0.0,-0.029659090795024583,-0.0,0.0,0.015970615676734155,-0.0
8,0.01,0.5,0.0,0.0,-0.0,-0.0005459886062851429,-0.0,-0.0,-0.0,-0.0,-0.0,0.00043611547299838324,0.0,0.0,-0.014441848636204981,0.014981981659237935,-0.027290990482638423,-0.0,0.0,0.0,0.0,-0.0,-0.0005468621965703072,-0.026713452535040257,-0.0,-0.0,-0.0,-0.001957027878635397,0.0,-0.024959815340816822,-0.0,0.0,0.017769913479813135,-0.0
