fold,alpha,l1_ratio,sharpe_12m_rank,ret_3m_rank,max_dd_12m,vol_intrames,autocorr_diaria
0,0.01,0.9,0.014367078535990509,-0.0,0.0004178393696186895,-0.014372094238104144,0.0
1,0.01,0.5,0.014451123346700161,-0.0,0.005564410387837003,-0.01684589927137957,0.0
2,0.001,0.1,0.013233175692765005,-0.008785873526174976,0.01692965879397605,-0.022086410653276337,0.0019448273180297899
3,0.01,0.1,0.022424207733586686,-0.0,0.01738296506818065,-0.019647692420413452,-0.0
4,0.01,0.1,0.01967217177099243,-0.0,0.016837141516058803,-0.01865603236115792,0.0007511016198954983
5,0.01,0.1,0.029178727993810754,0.0012362530779288859,0.018916523355781086,-0.017188836483255174,-0.0
6,0.01,0.1,0.0213728251320988,0.009751955090298475,0.017957487089988254,-0.007172894648849848,0.0
7,0.001,0.1,0.01908348012199404,0.004563113274086299,0.0156942279251734,-0.012260220792134137,-0.0033716909698887107
8,0.001,0.1,0.015704650419458635,0.0026611115859546232,0.013860185348158124,-0.011504195537348102,-0.0023119455215726424
9,0.001,0.1,0.019601342470666902,0.006233052657400727,0.007290523797837057,-0.015026003680430642,-0.0023181725553421185
