fold,sharpe_12m_rank,ret_3m_rank,max_dd_12m,vol_intrames,autocorr_diaria
0,587,580,830,671,631
1,494,578,939,699,576
2,496,556,926,725,592
3,651,619,1000,721,626
4,613,604,945,774,605
5,560,643,1070,746,616
6,587,592,979,753,693
7,601,595,1043,666,720
8,583,603,1032,717,697
9,637,638,1001,681,705
