fold,sharpe_12m_rank,ret_3m_rank,max_dd_12m,vol_intrames,autocorr_diaria
0,659,541,1199,639,460
1,596,571,1088,575,546
2,593,555,1169,576,469
3,546,556,1054,606,492
4,614,582,1072,627,479
5,577,549,1148,636,537
6,685,616,1236,654,519
7,695,663,1210,673,464
8,730,605,1226,661,479
