fold,ret_1m,ret_3m,ret_6m,ret_12m,vol_12m,max_dd_12m,sharpe_12m,vol_intrames,autocorr_diaria,ratio_dias_cero,skewness_12m,hit_rate_12m,distribution_yield_12m,persistencia_rank_12m,fee,log_n_instrumentos,pct_acum,fee_observado,concentracion_disponible,ret_3m_rank,ret_12m_rank,vol_12m_rank,sharpe_12m_rank,max_dd_12m_rank,fee_rank,log_n_instrumentos_rank,pct_acum_rank,vol_intrames_rank,autocorr_diaria_rank,ratio_dias_cero_rank,skewness_12m_rank,hit_rate_12m_rank
0,48,94,127,93,192,336,79,93,53,4,120,21,188,132,41,34,91,0,0,112,199,164,92,168,131,179,128,92,72,11,134,152
1,42,71,97,116,177,321,71,68,50,2,137,39,211,119,32,62,68,0,0,96,147,184,105,157,144,131,177,90,34,26,153,152
2,63,91,84,95,183,310,85,75,57,5,154,27,224,101,38,65,80,0,0,129,167,153,151,129,184,90,245,124,51,23,122,157
3,63,86,91,96,186,269,97,80,45,3,121,28,252,110,39,70,67,0,0,108,178,181,162,134,200,115,284,124,24,34,118,150
4,81,85,137,98,196,336,68,103,25,0,119,25,288,114,75,52,93,0,0,96,161,176,127,126,194,163,249,131,35,53,110,97
5,65,90,92,88,167,327,70,104,43,0,140,37,348,101,106,47,94,0,0,129,183,175,106,134,170,149,301,115,36,64,101,122
6,94,73,118,98,171,328,88,105,86,0,142,23,253,102,69,33,131,0,0,85,177,168,89,162,179,151,383,92,47,50,128,130
7,96,56,165,77,196,317,83,70,85,4,162,18,279,128,70,36,188,0,1,99,194,132,118,172,195,145,265,97,56,59,91,149
8,81,100,155,100,187,250,138,76,106,1,140,33,247,119,80,25,190,0,0,124,175,147,78,169,174,138,258,95,40,52,77,168
9,64,90,128,107,167,262,103,83,89,0,139,45,288,106,105,34,253,0,0,89,182,143,83,172,162,161,293,81,32,50,92,186
