fold,alpha,l1_ratio,sharpe_12m_rank,ret_3m_rank,max_dd_12m,vol_intrames,autocorr_diaria
0,0.01,0.9,0.008870633846105206,0.0,0.0,-0.022938439567829153,0.0
1,0.01,0.1,0.011802678752907206,-0.003862445833217473,0.007627367789082366,-0.030286800458869553,0.0031433590123768687
2,0.001,0.1,0.01571936962956208,-0.014448594078659817,0.020353336831970315,-0.0341081033905843,0.001563542609177377
3,0.001,0.1,0.02767083887779616,-0.01156010447412812,0.019111352345946773,-0.030084800762479703,-0.0001947535882543735
4,0.001,0.1,0.0285482282895244,-0.008187086008395317,0.018925118208229806,-0.028385960036300544,0.0024791812369969815
5,0.01,0.1,0.031690246215818375,-0.0021212821329318556,0.017591214462288417,-0.023183401069692328,-0.0
6,0.001,0.1,0.0241386916544849,-0.0035425598007073253,0.01875672771218432,-0.012537076348721398,-0.0006597405184845355
7,0.001,0.1,0.01596941440455458,-0.0009653272927421359,0.010433439879834383,-0.018200409419244123,-0.003333105345658672
8,0.01,0.1,0.010693387475649498,-0.0018819864827657991,0.0037802203710305907,-0.01653669187661124,-0.00165269921365817
